Ovlivňují síly působící na náklad při průjezdu zatáčkou bezpečnost jízdy?|B|Ne, tyto síly nemají žádný vliv na náklad.|Ano, náklad se může posunout nebo spadnout.|Ano, ale jen při přepravě sypkého materiálu.
Vyžadují-li provozní nebo jiné závažné důvody, aby osoby při vystupování z vozidla hromadné dopravy osob mimo zastávku nebo nastupování do něj mimo zastávku vstoupily do vozovky:|B|Je dopravce povinen tuto skutečnost neprodleně oznámit policii nebo obecní policii.|Je dopravce oprávněn zastavovat ostatní vozidla.|Je cestující z vozidla hromadné dopravy osob starší 18 let oprávněn zastavovat ostatní vozidla.
Je-li překážkou provozu na pozemní komunikaci vozidlo, které provozovatel neodstranil, rozhodne o jeho odstranění:|C|Správce pozemní komunikace s předchozím souhlasem Policie České republiky; vozidlo se odstraní na náklady správce pozemní komunikace.|Správce pozemní komunikace; vozidlo se odstraní na náklady jeho provozovatele.|Policista nebo strážník obecní policie; vozidlo se odstraní na náklady jeho provozovatele.
Při vlečení motorového vozidla na tyči musí být délka tyče taková, aby vzdálenost mezi vozidly nebyla:|C|Menší než 1 m a větší než 5 m.|Menší než 1,5 m a větší než 5 m.|Menší než 1 m a větší než 6 m.
Provozovatel motocyklu přistaví tento motocykl k technické prohlídce nejpozději:|A|Ve lhůtě 6 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 4 let.|Ve lhůtě 4 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 2 let.|Ve lhůtě 2 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 2 let.
Při řízení provozu na křižovatce policistou je řidič vozidla, pro kterého z pokynu policisty taková povinnost vyplývá, povinen zastavit vozidlo:|A|Před hranicí křižovatky.|Na takovém místě, kde bude mít dobrý výhled do křižovatky.|V křižovatce a v takové vzdálenosti od policisty, aby nebyla ohrožena jeho bezpečnost.
V pěší zóně smí řidič jet rychlostí:|B|Nejvýše 10 km/h.|Nejvýše 20 km/h.|Nejvýše 30 km/h.
V obytné zóně řidič:|A|Nesmí stát jinde než na místech označených jako parkoviště, zastavit ale může i mimo parkoviště.|Nesmí zastavit a stát jinde než na místech označených jako parkoviště.|Nesmí mimo parkoviště ani zastavit vozidlo.
V pěší zóně:|A|Nesmí řidič stát jinde než na místech označených jako parkoviště, zastavit ale může i mimo parkoviště.|Nesmí řidič zastavit a stát jinde než na místech označených jako parkoviště.|Nesmí řidič mimo parkoviště ani zastavit vozidlo.
Hry dětí na pozemní komunikaci:|A|Jsou dovoleny pouze v obytné zóně.|Jsou dovoleny v obytné a pěší zóně.|Jsou zakázány.
V obytné zóně:|A|Smějí chodci užívat pozemní komunikaci v celé její šířce.|Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, užijí levou krajnici či levý okraj vozovky.|Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, mohou užít pozemní komunikaci v celé šířce.
V pěší zóně:|A|Smějí chodci užívat pozemní komunikaci v celé její šířce.|Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, užijí levou krajnici či levý okraj vozovky.|Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, mohou užít pozemní komunikaci v celé šířce.
V obytné zóně smí řidič jet rychlostí:|B|Nejvýše 50 km/h.|Nejvýše 20 km/h.|Nejvýše 30 km/h.
Chodci v obytné zóně:|A|Musí umožnit jízdu všem vozidlům.|Musí umožnit jízdu pouze vozidlům s právem přednostní jízdy.|Nemusí při užívání obytné zóny brát ohled na pohyb vozidel.
Chodci v pěší zóně:|A|Musí umožnit jízdu všem vozidlům.|Musí umožnit jízdu pouze vozidlům s právem přednostní jízdy.|Nemusí při užívání pěší zóny brát ohled na pohyb vozidel.
Řidičský průkaz:|A|Nesmí být ponecháván a přijímán jako zástava a odebírán při vstupu do objektů nebo na pozemky.|Smí být ponecháván a přijímán jako zástava, ale nesmí být odebírán při vstupu do objektů nebo na pozemky.|Smí být odebírán při vstupu do objektů nebo na pozemky, ale nesmí být ponecháván ani přijímán jako zástava.
Při jízdě v obytné zóně:|A|Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit, a v případě nutnosti musí zastavit vozidlo.|Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit ani omezit.|Platí pro řidiče ve vztahu k chodcům stejná ustanovení jako na kterékoli jiné pozemní komunikaci.
Při jízdě v pěší zóně:|A|Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit, a v případě nutnosti musí zastavit vozidlo.|Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit ani omezit.|Platí pro řidiče ve vztahu k chodcům stejná ustanovení jako na kterékoli jiné pozemní komunikaci.
Při dvojnásobném zvýšení rychlosti působí na řidiče i motocykl v zatáčce:|B|Přibližně dvojnásobná odstředivá síla.|Přibližně čtyřnásobná odstředivá síla.|Odstředivá síla, která se nemění.
Nemohou-li se řidiči protijedoucích vozidel bezpečně vyhnout v situaci, kdy k bezpečnému vyhnutí není nutné, aby musel jeden z řidičů couvat:|A|Musí dát přednost v jízdě ten, na jehož straně jízdy je překážka nebo zúžená vozovka.|Musí dát přednost v jízdě ten, na jehož straně jízdy není překážka nebo zúžená vozovka.|Musí dát přednost v jízdě ten, pro něhož je to snazší nebo méně nebezpečné.
Nemohou-li se řidiči protijedoucích vozidel bezpečně vyhnout v situaci, kdy je k bezpečnému vyhnutí nutné, aby jeden z řidičů couval:|C|Učiní tak ten, na jehož straně jízdy je překážka nebo zúžená vozovka.|Učiní tak ten, na jehož straně jízdy není překážka nebo zúžená vozovka.|Učiní tak ten, pro něhož je to snazší nebo méně nebezpečné.
Na co je třeba dbát při nakládání sypkého materiálu?|B|Sypký materiál by měl být naložen pokud možno co nejdále dozadu, aby se zvýšilo zatížení zadní poháněné nápravy.|Zatížení nákladové plochy musí být rovnoměrné.|Náklad je třeba umístit jen do středu ložné plochy.
Pro provoz vozidla, jehož motor je konstruován pro použití olovnatých motorových benzínů, musí být u čerpací stanice v prodeji:|A|Bezolovnatý motorový benzín s aditivačními přísadami, které umožní spolehlivý provoz těchto motorů, nebo aditivační přísady samotné.|Olovnatý motorový benzín, který umožní spolehlivý, hospodárný a k životnímu prostředí příznivý provoz těchto motorů.|Olovnatý motorový benzín s aditivačními přísadami, který umožní spolehlivý, hospodárný a k životnímu prostředí příznivý provoz těchto motorů.
Za křižovatku se nepovažuje:|A|Vyústění polní nebo lesní cesty nebo jiné účelové pozemní komunikace na jinou pozemní komunikaci.|Místo, kde se protínají nebo spojují dvě polní cesty nebo dvě lesní cesty.|Místo, kde se protínají nebo spojují dvě účelové pozemní komunikace.
Historické vozidlo:|A|Nelze provozovat na pozemních komunikacích za účelem podnikání a běžného denního užívání pro vlastní potřeby.|Nesmí být bez povolení Policie ČR provozováno na pozemních komunikacích.|Lze na pozemních komunikacích provozovat bez jakéhokoli omezení.
Mezinárodní řidičský průkaz:|A|Vydá držiteli řidičského oprávnění příslušný obecní úřad obce s rozšířenou působností na základě jeho žádosti.|Vydá obecní úřad obce s rozšířenou působností vždy společně s řidičským průkazem.|Vydá příslušný útvar dopravní policie vždy společně s řidičským průkazem.
Mezinárodní řidičský průkaz vydaný Českou republikou:|A|Neopravňuje k řízení motorových vozidel na území České republiky.|Opravňuje k řízení motorových vozidel na území České republiky pouze v případě, že držitel nahlásil odcizení, zničení nebo ztrátu svého řidičského průkazu a doposud mu nebyl vydán nový.|Opravňuje k řízení motorových vozidel na území České republiky.
Držitel řidičského oprávnění nesmí mít:|A|Více než jeden platný řidičský průkaz.|Více než dva platné řidičské průkazy.|Žádný řidičský průkaz, pokud mu byl vystaven mezinárodní řidičský průkaz.
Držitel řidičského průkazu:|A|Nesmí v řidičském průkazu provádět žádné zápisy, změny, opravy nebo úpravy.|Smí v řidičském průkazu provádět pouze opravy údajů, u nichž je zřejmé, že jsou vyplněny chybně.|Smí v řidičském průkazu provádět jen nezbytné změny a opravy, pokud jejich provedení následující pracovní den nahlásí příslušnému obecnímu úřadu obce s rozšířenou působností.
Držitel mezinárodního řidičského průkazu:|A|Nesmí v mezinárodním řidičském průkazu provádět žádné zápisy, změny, opravy nebo úpravy.|Smí v mezinárodním řidičském průkazu provádět pouze opravy údajů, u nichž je zřejmé, že jsou vyplněny chybně.|Smí v mezinárodním řidičském průkazu provádět jen nezbytné změny a opravy, pokud jejich provedení následující pracovní den nahlásí příslušnému obecnímu úřadu obce s rozšířenou působností.
Změnu údajů, které jsou zaznamenávány v řidičském průkazu, je držitel řidičského průkazu povinen oznámit:|A|Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.|Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.|Do patnácti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.
Změnu údajů, které jsou zaznamenávány v řidičském průkazu, je držitel řidičského průkazu povinen oznámit:|A|Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.|Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.|Do patnácti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.
Změna údajů, které jsou zaznamenávány v řidičském průkazu, se příslušnému obecnímu úřadu obce s rozšířenou působností oznamuje nejpozději:|A|Do pěti pracovních dnů ode dne, kdy ke změně došlo.|Do patnácti pracovních dnů ode dne, kdy ke změně došlo.|Do dvaceti pracovních dnů ode dne, kdy ke změně došlo.
Změnu příjmení musí držitel řidičského průkazu oznámit příslušnému obecnímu úřadu obce s rozšířenou působností nejpozději:|A|Do pěti pracovních dnů ode dne, kdy ke změně došlo.|Do patnácti pracovních dnů ode dne, kdy ke změně došlo.|Do dvaceti pracovních dnů ode dne, kdy ke změně došlo.
Změnu příjmení musí držitel řidičského průkazu nejpozději do pěti pracovních dnů ode dne, kdy ke změně došlo, oznámit:|A|Příslušnému obecnímu úřadu obce s rozšířenou působností.|Příslušnému útvaru dopravní policie.|Příslušnému útvaru obecní policie.
Ztrátu, odcizení, poškození nebo zničení řidičského průkazu je držitel řidičského oprávnění povinen:|A|Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.|Neprodleně ohlásit příslušnému útvaru dopravní policie.|Neprodleně ohlásit příslušnému útvaru obecní policie.
Ztrátu řidičského průkazu je držitel řidičského oprávnění povinen:|A|Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.|Neprodleně ohlásit příslušnému útvaru dopravní policie.|Neprodleně ohlásit příslušnému útvaru obecní policie.
Odcizení řidičského průkazu je držitel řidičského oprávnění povinen:|A|Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.|Neprodleně ohlásit příslušnému útvaru dopravní policie.|Neprodleně ohlásit příslušnému útvaru obecní policie.
Poškození řidičského průkazu je držitel řidičského oprávnění povinen:|A|Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.|Neprodleně ohlásit příslušnému útvaru dopravní policie.|Neprodleně ohlásit příslušnému útvaru obecní policie.
Zničení řidičského průkazu je držitel řidičského oprávnění povinen:|A|Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.|Neprodleně ohlásit příslušnému útvaru dopravní policie.|Neprodleně ohlásit příslušnému útvaru obecní policie.
Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu:|A|Platí 30 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.|Platí 60 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.|Platí 90 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.
Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu:|A|Platí pouze na území České republiky.|Platí na území České republiky a ostatních členských států Evropských společenství.|Platí ve všech státech, ve kterých je uznáván český řidičský průkaz.
Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení ztráty řidičského průkazu:|A|Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.|Mezinárodní řidičský průkaz.|Duplikát řidičského průkazu.
Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení odcizení řidičského průkazu:|A|Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.|Mezinárodní řidičský průkaz.|Duplikát řidičského průkazu.
Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení poškození řidičského průkazu:|A|Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.|Mezinárodní řidičský průkaz.|Duplikát řidičského průkazu.
Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení zničení řidičského průkazu:|A|Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.|Mezinárodní řidičský průkaz.|Duplikát řidičského průkazu.
Řidičský průkaz je neplatný, jestliže:|A|Uplynula doba jeho platnosti.|Byl jeho držiteli vystaven mezinárodní řidičský průkaz.|Byl řidiči pro porušení zákona zadržen policistou.
Řidičský průkaz je neplatný, jestliže:|A|Údaje o řidičském oprávnění v něm uvedené neodpovídají skutečnosti.|Kterýkoli z údajů v něm zapsaných neodpovídá skutečnosti.|V něm není uveden údaj o nejbližším termínu pravidelné lékařské prohlídky.
Řidičský průkaz je neplatný, jestliže:|A|Jsou v něm neoprávněně provedeny zápisy, změny, opravy nebo úpravy.|Byl řidiči pro porušení zákona zadržen policistou nebo obecním úřadem obce s rozšířenou působností.|Je jeho držitel ve výkonu trestu odnětí svobody.
Řidičský průkaz je neplatný, jestliže:|A|Je poškozený tak, že záznamy v něm uvedené jsou nečitelné.|Je jakýmkoli způsobem poškozený (např. odřený či zprohýbaný).|Byl jeho oprávněným držitelem, byť i jen dočasně, předán jiné osobě.
Evidence údajů o řidičích je vedena v registru řidičů, jehož správcem je:|A|Obecní úřad obce s rozšířenou působností.|Policejní prezidium České republiky.|Ministerstvo vnitra.
Údaje z registru řidičů lze poskytnout:|A|Fyzickým osobám, pokud jde o údaje o nich vedené.|Všem fyzickým i právnickým osobám, které o to požádají, a to v rozsahu jejich žádosti.|Všem držitelům řidičského oprávnění, kteří o to požádají, a to v rozsahu jejich žádosti.
Po dobu zadržení řidičského průkazu:|A|Držitel řidičského oprávnění nesmí řídit motorové vozidlo.|Držitel řidičského oprávnění smí řídit motorová vozidla jen s písemným svolením příslušného útvaru dopravní policie.|Držitel řidičského oprávnění smí řídit motorová vozidla s platným mezinárodním řidičským průkazem.
Řidič motorového vozidla, který je povinen užít přenosného výstražného trojúhelníku, jej musí umístit:|B|Na krajnici vozovky ve vzdálenosti nejméně 80 m, na dálnici a silnici I. třídy nejméně 130 m za vozidlem.|Na okraj vozovky tak, aby byl pro přijíždějící řidiče včas a zřetelně viditelný, a to ve vzdálenosti nejméně 50 m, na dálnici nejméně 100 m za vozidlem; v obci může být tato vzdálenost, vyžadují-li to okolnosti, kratší.|V libovolné vzdálenosti na okraj vozovky tak, aby byl pro přijíždějící řidiče včas a zřetelně viditelný.
Pěší zóna je:|A|Oblast, jejíž začátek je označen dopravní značkou "Pěší zóna" a konec je označen dopravní značkou "Konec pěší zóny".|Oblast, jejíž začátek je označen dopravní značkou "Stezka pro chodce" a konec je označen dopravní značkou "Konec stezky pro chodce".|Každý chodník, oddělený od vozovky výškově nebo jinak, který jiní účastníci provozu než chodci nesmí použít.
Dojde-li během jízdy na dálnici na vozidle nebo nákladu k závadě, pro kterou nelze dosáhnout na rovině rychlosti nejméně 80 km/h, musí řidič:|A|Opustit dálnici na nejbližším výjezdu.|Vozidlo okamžitě odstavit na krajnici a označit jako překážku provozu.|Přejet do jízdního pruhu pro pomalá vozidla a v něm pokračovat v jízdě.
Během jízdy na dálnici mimo obec se ukázalo, že s Vaším vozidlem ve stoupání nelze dosáhnout rychlosti nejméně 80 km/h (např. pro nedostatečný výkon motoru nebo pro hmotnost přepravovaného nákladu). Můžete pokračovat v jízdě po dálnici?|A|Ano. Důležité je, že vozidlo může dosáhnout této rychlosti na rovině.|Ne. Dálnici musíte opustit na nejbližším výjezdu.|Ne. Vozidlo musíte odstavit na krajnici a označit jako překážku provozu.
Během jízdy na silnici pro motorová vozidla mimo obec se ukázalo, že Vaše vozidlo ve stoupání nedosahuje rychlosti nejméně 80 km/h (např. pro nedostatečný výkon motoru nebo pro hmotnost přepravovaného nákladu). Můžete pokračovat v jízdě po této silnici?|A|Ano. Důležité je, že vozidlo může dosáhnout této rychlosti na rovině.|Ne. Silnici pro motorová vozidla musíte opustit na nejbližším výjezdu.|Ne. Vozidlo musíte odstavit na krajnici a označit jako překážku provozu.
Po pozemní komunikaci jde osoba, která vede psa. Vztahují se na ni povinnosti průvodce vedených zvířat?|A|Ne.|Ano.
Zastavit znamená:|A|Uvést vozidlo do klidu na dobu nezbytně nutnou k neprodlenému nastoupení nebo vystoupení přepravovaných osob anebo k neprodlenému naložení nebo složení nákladu.|Povinnost řidiče nezahájit jízdní úkon nebo v něm nepokračovat, jestliže by řidič, který má přednost v jízdě, musel náhle změnit směr nebo rychlost jízdy.|Přerušit jízdu z důvodu nezávislého na vůli řidiče, například při poruše vozidla.
Patří k povinnostem účastníka provozu na pozemních komunikacích řídit se pokyny strážníků obecní policie?|A|Ano.|Ne.
Během jízdy může kouřit:|A|Řidič osobního motorového vozidla.|Řidič motocyklu a mopedu.|Řidič vozidla hromadné dopravy osob.
Při čerpání pohonných hmot mají přednost:|A|Řidiči vozidel s právem přednostní jízdy; přitom nepoužívají zvláštních výstražných znamení.|Řidiči vozidel s právem přednostní jízdy; k upozornění ostatních řidičů však musejí použít zvláštních výstražných znamení.|Řidiči vozidel hromadné dopravy osob, např. autobusů, a řidiči nákladních vozidel.
V prostoru čerpací stanice pohonných hmot je zakázáno:|A|Opravovat motor vozidla.|Opravovat elektrická zařízení na vozidle.|Opravovat jakoukoli součást vozidla.
Provozovatel silničního motorového vozidla nesmí provozovat na pozemních komunikacích vozidlo:|A|Které je technicky nezpůsobilé k provozu.|Které spotřebou pohonných hmot přesahuje limity stanovené výrobcem vozidla.|K jehož pohonu má být podle návodu k použití užit pouze bezolovnatý benzín.
V prostoru čerpací stanice pohonných hmot je zakázáno:|A|Seřizovat motor vozidla.|Zdržovat se déle, než je nezbytně nutné.|Opravovat vozidlo.
Vozidlo hromadné dopravy osob je:|A|Autobus, trolejbus nebo tramvaj.|Motorové vozidlo s nejméně osmi místy pro cestující.|Vozidlo taxislužby.
Patří vojenský policista mezi osoby, které jsou oprávněny k řízení provozu na pozemních komunikacích?|A|Ano.|Ne.
Řidič na pozemní komunikaci s jednosměrným provozem:|A|Smí couvat, jestliže je to nezbytně nutné, například k zajetí do řady stojících vozidel nebo vyjetí z ní.|Nesmí couvat, i když je to nezbytně nutné, například k zajetí do řady stojících vozidel nebo vyjetí z ní.|Smí couvat, jestliže je tato pozemní komunikace široká nejméně 6 metrů.
Řidič motorového vozidla:|A|Se nesmí otáčet na místech nepřehledných nebo jinak nebezpečných, např. v nepřehledné zatáčce a její blízkosti nebo před nepřehledným vrcholem stoupání pozemní komunikace, na něm a za ním.|Se může otáčet na přechodu pro chodce nebo na přejezdu pro cyklisty nebo v jejich těsné blízkosti, pokud tím neohrozí bezpečnost ostatních účastníků silničního provozu.|Se může otáčet v těsné blízkosti železničního přejezdu, pokud je železniční zabezpečovací zařízení funkční.
Přejíždět z jednoho jízdního pruhu do druhého smí řidič jen tehdy:|C|Neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává.|Neohrozí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává.|Neohrozí-li a neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; přitom musí dávat znamení o změně směru jízdy.
Zjistíme-li závady na brzdovém systému, které zjevně znemožňují účinně zastavit vozidlo a tím ohrožují bezpečnost provozu na pozemních komunikacích:|C|Vozidlo lze provozovat na pozemních komunikacích na základě jednorázového povolení policie.|S vozidlem lze přiměřenou rychlostí dojet jen do nejbližšího místa, kde lze závadu odstranit.|Vozidlo nesmí být užito k provozu na pozemních komunikacích, smí však být vlečeno na tyči.
Lhůta pro přistavení silničního vozidla k pravidelné technické prohlídce se počítá ode dne:|A|Prvního zaregistrování silničního vozidla a potom vždy ode dne provedení pravidelné technické prohlídky.|Prodeje silničního vozidla a potom vždy ode dne úspěšného provedení pravidelné technické prohlídky.|Vyrobení silničního vozidla a potom vždy v pravidelných pětiletých lhůtách.
Vozidlo je technicky nezpůsobilé k provozu na pozemních komunikacích, pokud:|A|Pro závady v technickém stavu bezprostředně ohrožuje bezpečnost provozu na pozemních komunikacích.|Do termínu příští pravidelné technické prohlídky zbývá méně než tři kalendářní měsíce.|Spotřeba pohonných hmot přesahuje limity stanovené výrobcem vozidla.
Nebrzděný přívěs, jehož přípustná hmotnost nepřevyšuje 750 kg a který nebyl dříve registrován v zahraničí, přistaví jeho provozovatel k technické prohlídce nejpozději ve lhůtě:|B|2 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 2 let.|6 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 4 let.|4 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 4 let.
Evidenční kontrola silničního vozidla prováděná stanicí technické kontroly spočívá v:|A|Porovnání údajů uvedených v technickém průkazu silničního vozidla a v osvědčení o registraci vozidla se skutečnými údaji a stavem vozidla.|Porovnání údajů uvedených v řidičském průkazu řidiče motorového vozidla s údaji uvedenými v jeho občanském průkazu.|Seřízení brzdové soustavy, řízení, podvozku, světelného zařízení a světelné signalizace.
K pohonu motorů vozidel se smí používat:|A|Pouze pohonné hmoty předepsané výrobcem těchto motorů.|Pohonné hmoty nesplňující požadavky na jakost, umožní-li spolehlivý provoz těchto motorů.|Pouze pohonné hmoty předepsané výrobcem těchto motorů nebo pohonné hmoty s nižším oktanovým číslem.
Kdy smíte při jízdě s motorovým vozidlem, které je vybaveno světly pro denní svícení, těmito světly svítit?|A|Pouze při nesnížené viditelnosti, a to bez současného použití obrysových světel.|Při nesnížené viditelnosti samostatně a při současném použití obrysových světel i při snížené viditelnosti.|Pouze v době od 6.00 hodin do 20.00 hodin a jen při současném použití obrysových světel.
Podél tramvaje se jezdí:|C|Vpravo i vlevo, pokud je tramvajový pás ve stejné úrovni s vozovkou.|Vpravo; vlevo smí řidič jet v případě, stojí-li tramvaj v zastávce.|Vpravo, pokud není dopravní značkou "Objíždění tramvaje" povolena jízda vlevo.
Tramvaj zastavila v zastávce bez nástupního ostrůvku. Řidič jiného vozidla jedoucího za touto tramvají musí:|A|Zastavit vozidlo. Pokračovat v jízdě smí teprve tehdy, neohrozí-li již cestující, kteří nastupují nebo vystupují.|Zastavit vozidlo na dobu, než tramvaj odjede z prostoru zastávky.|Tramvaj se zvýšenou opatrností objet vlevo; přitom musí svou jízdu přizpůsobit zejména možnosti vstoupení chodců do vozovky.
Řidič, který se po předjetí zařazuje před vozidlo, které předjel:|B|Může omezit řidiče vozidla, které předjel, a musí dávat znamení o změně směru jízdy.|Musí dávat znamení o změně směru jízdy a nesmí ohrozit ani omezit řidiče vozidla, které předjel.|Nemusí dávat znamení o změně směru jízdy, pokud neomezí řidiče vozidla, které předjel.
Řidič motorového vozidla o maximální přípustné hmotnosti převyšující 3 500 kg, s výjimkou autobusu, smí jet mimo obec rychlostí nejvýše:|B|90 km.h-1.|80 km.h-1.|70 km.h-1.
Pokud není dopravní značkou "Nejvyšší dovolená rychlost" dovolena rychlost vyšší, smí jet řidič v obci rychlostí nejvýše:|A|50 km.h-1.|60 km.h-1.|70 km.h-1.
Při použití sněhových řetězů na vozidle smí jet řidič:|C|Rychlostí nejvýše 30 km.h-1.|Rychlostí nejvýše 80 km.h-1.|Rychlostí nejvýše 50 km.h-1
Řidič vozidla jedoucí za jiným vozidlem:|B|Nemusí ponechávat za ním dostatečnou bezpečnostní vzdálenost, pokud to nevyžaduje dopravní situace.|Musí za ním ponechat dostatečnou bezpečnostní vzdálenost, aby se mohl vyhnout srážce v případě náhlého snížení rychlosti nebo náhlého zastavení vozidla, které jede před ním.|Musí ponechat za ním dostatečnou bezpečnostní vzdálenost pouze v nepřehledných úsecích pozemní komunikace.
Řidiči protijedoucích vozidel se vyhýbají:|C|Vlevo, včas a v dostatečné míře.|Vpravo, při zachování minimálního bočního odstupu 1 m.|Vpravo, včas a v dostatečné míře.
Ustanovení o provozu na dálnici platí:|B|Jen pro dálnice.|Pro dálnici a silnici pro motorová vozidla.|Pro všechny pozemní komunikace, s výjimkou místních komunikací.
Vjíždět na dálnici a vyjíždět z dálnice smí řidič:|C|Potahového vozidla nebo nemotorového vozidla pouze u parkoviště.|Rychlostí vozidla nepřesahující 50 km.h-1.|Jen na místech k tomu určených.
Na křižovatce, kde není dopravními značkami rozlišena přednost v jízdě, řidič musí dát přednost v jízdě:|C|Motorovým vozidlům nebo jezdcům na zvířatech přijíždějícím zprava, tramvajím v obou směrech a chodcům přicházejícím zprava.|Vozidlům nebo jezdcům na zvířatech přijíždějícím zleva nebo organizované skupině chodců nebo průvodcům hnaných zvířat se zvířaty přicházejícím zleva.|Vozidlům nebo jezdcům na zvířatech přijíždějícím zprava nebo organizované skupině chodců nebo průvodcům hnaných zvířat se zvířaty přicházejícím zprava.
Řidič nesmí vjet do křižovatky, nedovoluje-li mu situace pokračovat v jízdě v křižovatce a za křižovatkou, takže by byl nucen zastavit vozidlo v křižovatce. To neplatí:|B|Pokud důvodem zastavení vozidla je, že řidič hodlá v této křižovatce couvat.|Pokud důvodem zastavení vozidla je plnění povinnosti umožnit chodci nerušené a bezpečné přejití vozovky na přechodu pro chodce nebo povinnost dát přednost v jízdě při odbočování vlevo.|Pokud řidič musel zastavit vozidlo v křižovatce vzhledem k dopravní situaci, zejména kvůli hustému provozu.
Řidič nesmí vjet do křižovatky, nedovoluje-li mu situace pokračovat v jízdě v křižovatce a za křižovatkou, takže by byl nucen zastavit vozidlo v křižovatce. To neplatí:|B|Pokud důvodem zastavení vozidla je, že řidič hodlá v této křižovatce nebo v její bezprostřední blízkosti couvat.|Pokud důvodem zastavení vozidla je plnění povinnosti umožnit chodci nerušené a bezpečné přejití vozovky na přechodu pro chodce nebo povinnost dát přednost v jízdě při odbočování vlevo.|Pokud řidič musel zastavit vozidlo proto, že kvůli hustému provozu zastavila i vozidla jedoucí před ním.
Zákon o silničním provozu upravuje pravidla provozu:|A|Na dálnicích, silnicích, místních komunikacích a účelových komunikacích.|Jen na dálnicích a silnicích pro motorová vozidla.|Na všech pozemních komunikacích a též na polích, loukách a v lesích.
Dát přednost v jízdě znamená povinnost řidiče:|B|Počínat si tak, aby řidič, který má přednost v jízdě, věděl, že nebude v jízdě omezen.|Nezahájit jízdu nebo jízdní úkon nebo v nich nepokračovat, jestliže by řidič, který má přednost v jízdě, musel náhle změnit směr nebo rychlost jízdy.|Počínat si tak, aby řidič, který má přednost v jízdě, nemusel ani mírně zpomalit.
Řidič nesmí požít alkoholický nápoj nebo užít návykovou látku:|A|Během jízdy.|Bezprostředně po skončení jízdy.|Do 24 hodin po skončení jízdy.
Na pozemní komunikaci se jezdí:|B|Vpravo ve vzdálenosti nejméně 1 m od okraje vozovky.|Vpravo, a pokud tomu nebrání zvláštní okolnosti, při pravém okraji vozovky, pokud není stanoveno jinak.|Výlučně při pravém okraji vozovky, a to za všech okolností.
